企业,环境得分（华证）,环保总投入（万元）,全年能源消耗总量（万吨煤）,万元营业收入综合能耗（吨标煤/万元）,耗电（万千瓦时）,耗气（万标准立方米）,燃油量（万吨）,二氧化碳排放量（万吨）,单位营业收入二氧化碳排放量（吨/万元）,水资源总消耗量（万立方米）,固体废物排放量（万吨）
中国交建2012,62.44,15100,,0.107,,,,721.4,,,
中国交建2013,58.87,10400,,0.093,,,,693.89,,,
中国交建2014,57.47,,,0.072,,,,599.95,,,
中国交建2015,64.31,11923.05,259.65,0.058,277221.2,1672.06,146.65,572.1,,,
中国交建2016,41.55,20481.7,244.65,0.053,304586.2,1461.83,136.11,541.3,,,
中国交建2017,52.77,17642.73,221.79,0.045,327711.6,1887.24,118.9,474.4,,,
中国交建2018,66.29,12209.51,174.75,,270197.02,2829.18,91.91,460.5,,,
中国交建2019,63.72,,167.83,0.028,292140.2,3126.8,83.35,465.6,,,
中国交建2020,70.26,,146.418,0.024,212485,2869,78.471,390.996,0.064,,
中国交建2021,61.95,,195,0.028,315138,2266,104,522,0.076,,
中国交建2022,70.02,,172,0.024,259727,4417,91,468,0.065,,
中国交建2023,71.6,,153,0.02,253292,2341,81,409,0.053,,
中国铁建2018,58.91,83600,516.32,0.086,873324.19,478.89,170.21,252.11,0.038,22848.44,2774.47
中国铁建2019,60.31,113302,532.28,0.081,1017522.01,523.63,185.59,342.84,0.053,28932.17,3026.53
中国铁建2020,67.69,153219,594.13,0.078,1914927.23,624.25,203.68,735.95,0.098,27934.26,3276.37
中国铁建2021,68,217352,589.24,0.058,1915838,737.43,200.83,1512.675,0.148,29765.37,4187.42
中国铁建2022,70.85,240000,674.1,0.061,2063281,788.31,213.62,1560.053,0.142,31819.18,4476.35
中国铁建2023,70.67,366660.16,667.42,0.061,2163317,20531,218.29,1543.119,0.136,29843.36,4205.78
