企业,环境得分（华证）,环保总投入（万元）,能源节约量（万吨煤）,全年能源消耗总量（万吨煤）,营业收入（亿元）,万元营业收入综合能耗（吨标煤/万元）,耗电（万千瓦时）,耗气（万标准立方米）,燃油量（万吨）,二氧化碳排放量（万吨）,单位营业收入二氧化碳排放量（吨/万元）,水资源总消耗量（万立方米）,固体废物排放量（万吨）
中国交建2012,62.4400 ,15100.0000 ,74.7000 ,,,0.1074 ,,,,721.4000 ,,,
中国交建2013,58.8700 ,10400.0000 ,125.1400 ,,,0.0925 ,,,,693.8900 ,,,
中国交建2014,57.4700 ,,199.1500 ,,,0.0722 ,,,,599.9500 ,,,
中国交建2015,64.3100 ,11923.0500 ,194.0000 ,259.6500 ,,0.0580 ,277221.2000 ,1672.0600 ,146.6500 ,572.1000 ,,,
中国交建2016,41.5500 ,20481.7000 ,210.0000 ,244.6500 ,,0.0530 ,304586.2000 ,1461.8300 ,136.1100 ,541.3000 ,,,
中国交建2017,52.7700 ,17642.7300 ,151.0000 ,221.7900 ,,0.0450 ,327711.6000 ,1887.2400 ,118.9000 ,474.4000 ,,,
中国交建2018,66.2900 ,12209.5100 ,193.0000 ,174.7500 ,,,270197.0200 ,2829.1800 ,91.9100 ,460.5000 ,,,
中国交建2019,63.7200 ,,,167.8300 ,,0.0277 ,292140.2000 ,3126.8000 ,83.3500 ,465.6000 ,,,
中国交建2020,70.2600 ,,,146.4184 ,,0.0239 ,212485.0000 ,2869.0000 ,78.4709 ,390.9957 ,0.0639 ,,
中国交建2021,61.9500 ,,,195.0000 ,,0.0284 ,315138.0000 ,2266.0000 ,104.0000 ,522.0000 ,0.0761 ,,
中国交建2022,70.0180 ,,,172.0000 ,,0.0239 ,259727.0000 ,4417.0000 ,91.0000 ,468.0000 ,0.0650 ,,
中国交建2023,71.6000 ,,,153.0000 ,,0.0200 ,253292.0000 ,2341.0000 ,81.0000 ,409.0000 ,0.0533 ,,
