city,href,store_count,header_text
Anshan,https://www.lacoste.com/us/stores/china/anshan?country=china,2.0,2 STORES
Baotou,https://www.lacoste.com/us/stores/china/baotou?country=china,1.0,LACOSTE BAOTOU WANGFUJING DEPARTMENT STORE
BEIHAI,https://www.lacoste.com/us/stores/china/beihai?country=china,1.0,LACOSTE BEIHAI NINGCHUN CITY STORE
beijing,https://www.lacoste.com/us/stores/china/beijing?country=china,1.0,LACOSTE BEIJING BLUE HARBOUR CONCEPT STORE
Benbu,https://www.lacoste.com/us/stores/china/benbu?country=china,1.0,LACOSTE BENGBU NEW CENTURY DEPARTMENT STORE
Changchun,https://www.lacoste.com/us/stores/china/changchun?country=china,8.0,8 STORES
CHANGZHI,https://www.lacoste.com/us/stores/china/changzhi?country=china,1.0,LACOSTE CHANGZHI WANDA PLAZA
Changzhou,https://www.lacoste.com/us/stores/china/changzhou?country=china,4.0,4 STORES
Chenzhou,https://www.lacoste.com/us/stores/china/chenzhou?country=china,1.0,LACOSTE ZHANGZHOU YOUA INTERNATIONAL SHOPPING CENTER
Chongqing,https://www.lacoste.com/us/stores/china/chongqing?country=china,7.0,7 STORES
Dalian,https://www.lacoste.com/us/stores/china/dalian?country=china,1.0,LACOSTE DALIAN YIHE SHOPPING CENTER DEPARTMENT STORE
Danyang,https://www.lacoste.com/us/stores/china/danyang?country=china,1.0,LACOSTE DANYANG HUADI DEPARTMENT STORE
Daqing,https://www.lacoste.com/us/stores/china/daqing?country=china,1.0,LACOSTE DAQING LET HULU WANDA MALL
Datong,https://www.lacoste.com/us/stores/china/datong?country=china,1.0,LACOSTE DATONG PARSON DEPARTMENT STORE
Dezhou,https://www.lacoste.com/us/stores/china/dezhou?country=china,1.0,LACOSTE DEZHOU DEPARTMENT STORE
Dongguan,https://www.lacoste.com/us/stores/china/dongguan?country=china,3.0,3 STORES
Dongying,https://www.lacoste.com/us/stores/china/dongying?country=china,1.0,LACOSTE DONGYING YINZUO DEPARTMENT STORE
Foshan,https://www.lacoste.com/us/stores/china/foshan?country=china,2.0,2 STORES
Fuzhou,https://www.lacoste.com/us/stores/china/fuzhou?country=china,8.0,8 STORES
Ganzhou,https://www.lacoste.com/us/stores/china/ganzhou?country=china,2.0,2 STORES
Haikou,https://www.lacoste.com/us/stores/china/haikou?country=china,5.0,5 STORES
Handan,https://www.lacoste.com/us/stores/china/handan?country=china,1.0,LACOSTE HANDAN NEW CENTURY DEPARTMENT STORE
Hangzhou,https://www.lacoste.com/us/stores/china/hangzhou?country=china,12.0,12 STORES	Filter by
Harbin,https://www.lacoste.com/us/stores/china/harbin?country=china,6.0,6 STORES
Hefei,https://www.lacoste.com/us/stores/china/hefei?country=china,6.0,6 STORES
Hengyang,https://www.lacoste.com/us/stores/china/hengyang?country=china,1.0,LACOSTE HENGYANG JINGZHU MALL DEPARTMENT STORE
Hohhot,https://www.lacoste.com/us/stores/china/hohhot?country=china,2.0,2 STORES
HUAIBEI,https://www.lacoste.com/us/stores/china/huaibei?country=china,1.0,LACOSTE HUAIBEI YONGLI STORE
HUAINAN,https://www.lacoste.com/us/stores/china/huainan?country=china,1.0,LACOSTE HUAINAN JINDI GLOBAL HARBOR SHOP
Huizhou,https://www.lacoste.com/us/stores/china/huizhou?country=china,1.0,LACOSTE HUIZHOU HUAMAO PLAZA BOUTIQUE
Huzhou,https://www.lacoste.com/us/stores/china/huzhou?country=china,1.0,LACOSTE HUZHOU ZHEBEI DEPARTMENT STORE
Jiangmen,https://www.lacoste.com/us/stores/china/jiangmen?country=china,1.0,LACOSTE JIANGMEN YIHUA DEPARTMENT STORE
Jiaozuo,https://www.lacoste.com/us/stores/china/jiaozuo?country=china,1.0,LACOSTE JIAOZUO SANWEI COMMERCIAL PLAZA DEPARTMENT STORE
Jiaxing,https://www.lacoste.com/us/stores/china/jiaxing?country=china,1.0,LACOSTE JIAXING JIANGNAN DEPARTMENT STORE
Jilin,https://www.lacoste.com/us/stores/china/jilin?country=china,5.0,5 STORES
Jinan,https://www.lacoste.com/us/stores/china/jinan?country=china,6.0,6 STORES
Jinhua,https://www.lacoste.com/us/stores/china/jinhua?country=china,2.0,2 STORES
Jining,https://www.lacoste.com/us/stores/china/jining?country=china,1.0,LACOSTE JINING INZONE PLAZA DEPARTMENT STORE
Jinjiang,https://www.lacoste.com/us/stores/china/jinjiang?country=china,2.0,2 STORES
Jinzhou,https://www.lacoste.com/us/stores/china/jinzhou?country=china,1.0,LACOSTE JINZHOU QIANSHENG DEPARTMENT STORE
JIUJIANG,https://www.lacoste.com/us/stores/china/jiujiang?country=china,1.0,LACOSTE JIUJIANG JIUFANG STORE
Kunming,https://www.lacoste.com/us/stores/china/kunming?country=china,5.0,5 STORES
Kunshan,https://www.lacoste.com/us/stores/china/kunshan?country=china,1.0,LACOSTE KUNSHAN DEPARTMENT STORE
Langfang,https://www.lacoste.com/us/stores/china/langfang?country=china,1.0,LACOSTE LANGFANG MINGZHU DEPARTMENT STORE
LANZHOU,https://www.lacoste.com/us/stores/china/lanzhou?country=china,1.0,LACOSTE LANZHOU CENTER STORE
LEIYANG,https://www.lacoste.com/us/stores/china/leiyang?country=china,1.0,LACOSTE LEIYANG BUBUGAO MONO STORE
LIANYUNGANG,https://www.lacoste.com/us/stores/china/lianyungang?country=china,1.0,LACOSTE LIANYUNGANG SUNING PLAZA MONO
Linfen,https://www.lacoste.com/us/stores/china/linfen?country=china,1.0,LACOSTE LINFEN BAIYUE SHOPPING CENTRE DEPARTMENT STORE
Linhai,https://www.lacoste.com/us/stores/china/linhai?country=china,1.0,LACOSTE LINHAI YAODA DEPARTMENT STORE
Linyi,https://www.lacoste.com/us/stores/china/linyi?country=china,1.0,LACOSTE LINYI YINZUO DEPARTMENT STORE
Liuzhou,https://www.lacoste.com/us/stores/china/liuzhou?country=china,4.0,4 STORES
Liyang,https://www.lacoste.com/us/stores/china/liyang?country=china,1.0,LACOSTE LIYANG SPRINGLAND (HUADI) DEPARTMENT STORE
Loudi,https://www.lacoste.com/us/stores/china/loudi?country=china,,LAOCSTE LOUDI WANHAO CITY PLAZA DEPARTMENT STORE
Luoyang,https://www.lacoste.com/us/stores/china/luoyang?country=china,1.0,LACOSTE LUOYANG WANGFUJIN DEPARTMENT STORE
LUZHOU,https://www.lacoste.com/us/stores/china/luzhou?country=china,1.0,LACOSTE LUZHOU BUBUGAO STORE
MianYang,https://www.lacoste.com/us/stores/china/mianyang?country=china,2.0,2 STORES
MUDANJIANG,https://www.lacoste.com/us/stores/china/mudanjiang?country=china,1.0,LACOSTE MUDANJIANG WANDA PLAZA
Nanchang,https://www.lacoste.com/us/stores/china/nanchang?country=china,8.0,8 STORES
Nanjing,https://www.lacoste.com/us/stores/china/nanjing?country=china,14.0,14 STORES	Filter by
Nanning,https://www.lacoste.com/us/stores/china/nanning?country=china,5.0,5 STORES
Nantong,https://www.lacoste.com/us/stores/china/nantong?country=china,4.0,4 STORES
Ningbo,https://www.lacoste.com/us/stores/china/ningbo?country=china,6.0,6 STORES
ningde,https://www.lacoste.com/us/stores/china/ningde?country=china,1.0,LACOSTE NINGDE WANDA
Panjin,https://www.lacoste.com/us/stores/china/panjin?country=china,1.0,LACOSTE PANJIN XINGLONG SHOPPING CENTER DEPARTMENT STORE
Panzhihua,https://www.lacoste.com/us/stores/china/panzhihua?country=china,1.0,LACOSTE PANZHIHUA PARKSON DEPARTMENT STORE
Pingdingshan,https://www.lacoste.com/us/stores/china/pingdingshan?country=china,1.0,LACOSTE PINGDINGSHAN SHOPPING MALL DEPARTMENT STORE
Qingdao,https://www.lacoste.com/us/stores/china/qingdao?country=china,2.0,2 STORES
QINGYANG,https://www.lacoste.com/us/stores/china/qingyang?country=china,1.0,LACOSTE QINGYANG REGENT SHOP
qinhuangdao,https://www.lacoste.com/us/stores/china/qinhuangdao?country=china,1.0,LACOSTE QINHUANGDAO MODERN SHOPPING CENTER
Qinzhou,https://www.lacoste.com/us/stores/china/qinzhou?country=china,1.0,LACOSTE SHIJIAZHUANG BEIGUOYOUKE STORE
Quanzhou,https://www.lacoste.com/us/stores/china/quanzhou?country=china,3.0,3 STORES
Quzhou,https://www.lacoste.com/us/stores/china/quzhou?country=china,1.0,LACOSTE QUZHOU ORIENT DEPARTMENT STORE
Sanya,https://www.lacoste.com/us/stores/china/sanya?country=china,3.0,3 STORES
shangrao,https://www.lacoste.com/us/stores/china/shangrao?country=china,,SHANGRAO WANDA STORE
Shangyu,https://www.lacoste.com/us/stores/china/shangyu?country=china,2.0,2 STORES
