企业,社会维度得分,净利润（亿元）,缴纳税费（亿元）,净利润纳税率（%）,营业收入（亿元）,女性员工比例（%）,研究生及以上学历占比（%）,员工流失率（%）,员工满意度,因公死亡人数,员工培训人次,安全培训人次,科技投入（亿元）,研发总额占营业收入比例,新增专利数,省部级以上科技奖,国家级优质工程奖,捐赠总额（万元）,员工志愿者人数,志愿活动时长（次）,扶贫投入资金（万元）,农民工雇佣人数（万）,毕业生吸纳人数,员工保障（万元）
中国交建2012,73.99,151.4900 ,37.4000 ,24.6880 ,2962.2700 ,17.3000 ,5.6490 ,4.5200 ,94.8000 ,0.0000 ,150000.0000 ,9550.0000 ,23.3730 ,0.7890 ,413.0000 ,101.0000 ,20.0000 ,1218.0000 ,,,348.0000 ,33.4000 ,5629.0000 ,
中国交建2013,75.48,157.1000 ,38.4200 ,24.4560 ,3324.8700 ,17.3000 ,6.1450 ,3.4300 ,94.8000 ,11.0000 ,,,33.8100 ,1.0170 ,512.0000 ,109.0000 ,21.0000 ,1262.6000 ,,328.0000 ,332.1000 ,33.5000 ,6200.0000 ,
中国交建2014,76.94,175.6200 ,38.0000 ,21.6380 ,3666.7300 ,17.8000 ,7.0520 ,3.1200 ,94.8000 ,0.0000 ,226800.0000 ,800.0000 ,33.2700 ,0.9070 ,679.0000 ,153.0000 ,20.0000 ,1080.0000 ,10210.0000 ,2894.1000 ,,27.3000 ,7873.0000 ,
中国交建2015,78.35,194.1000 ,36.2800 ,18.6910 ,4044.2000 ,17.4000 ,7.3850 ,3.1100 ,95.4000 ,0.0000 ,235609.0000 ,,64.2900 ,1.5900 ,1019.0000 ,127.0000 ,24.0000 ,1134.0100 ,12496.0000 ,3259.1500 ,,28.4700 ,6042.0000 ,
中国交建2016,46.14,222.2500 ,50.0300 ,22.5110 ,4317.4300 ,23.5000 ,8.1790 ,3.1500 ,96.7000 ,18.0000 ,242304.0000 ,136000.0000 ,79.0720 ,1.8320 ,1226.0000 ,148.0000 ,24.0000 ,2437.1400 ,15754.0000 ,3847.1500 ,1792.0000 ,16.9280 ,7673.0000 ,86.0000 
中国交建2017,75.18,213.1900 ,52.3400 ,24.5510 ,4828.0400 ,16.0000 ,8.9290 ,3.1400 ,97.0000 ,0.0000 ,250552.0000 ,2733.0000 ,86.1390 ,1.7840 ,1330.0000 ,184.0000 ,63.0000 ,2713.7800 ,16978.0000 ,4288.6000 ,216.0000 ,17.0000 ,7934.0000 ,
中国交建2018,82.16,202.9400 ,51.5500 ,25.4020 ,4909.0000 ,14.1600 ,9.0700 ,3.1500 ,97.0000 ,12.0000 ,321565.0000 ,5908.0000 ,101.7630 ,2.0730 ,1712.0000 ,196.0000 ,76.0000 ,4022.1500 ,,,4022.0000 ,13.6010 ,,3876.2800 
中国交建2019,93.52,201.0800 ,50.9370 ,25.3320 ,5547.9200 ,14.0000 ,10.7390 ,3.1500 ,97.0000 ,8.0000 ,706958.0000 ,80714.0000 ,126.4700 ,2.2800 ,2205.0000 ,246.0000 ,38.0000 ,4596.1200 ,17211.0000 ,4493.0500 ,2591.9600 ,14.4280 ,,
中国交建2020,83.05,162.0600 ,61.0130 ,37.6490 ,6275.8600 ,19.2990 ,10.0040 ,3.1600 ,97.0000 ,6.0000 ,1349773.0000 ,234800.0000 ,200.9400 ,3.2020 ,2055.0000 ,222.0000 ,51.0000 ,12308.0000 ,19124.0000 ,4781.0000 ,28200.0000 ,30.4060 ,,
中国交建2021,74.4,179.9300 ,52.4770 ,29.1650 ,6856.3900 ,17.1900 ,11.3330 ,3.1700 ,97.0000 ,7.0000 ,,230000.0000 ,225.8800 ,3.2940 ,6838.0000 ,290.0000 ,46.0000 ,8875.0000 ,20080.0000 ,5020.0500 ,25888.0000 ,71.1760 ,,881.0000 
中国交建2022,74.09,191.0400 ,62.2240 ,32.5710 ,7202.7500 ,19.0400 ,10.8700 ,3.1100 ,97.0000 ,6.0000 ,1460721.0000 ,,233.9600 ,3.2480 ,7811.0000 ,257.0000 ,33.0000 ,28736.0000 ,21985.0000 ,5515.0000 ,26600.0000 ,76.3570 ,,
中国交建2023,74.52,238.1200 ,61.3970 ,25.7840 ,7586.7600 ,17.2000 ,12.3230 ,3.6700 ,97.0000 ,6.0000 ,652415.0000 ,250400.0000 ,277.0690 ,3.6520 ,6795.0000 ,,85.0000 ,27358.7600 ,33719.0000 ,6264.1500 ,23771.5000 ,80.8360 ,,3242.3600 
中国铁建2010,72.96,43.1700 ,17.7200 ,41.0470 ,4701.5900 ,20.0900 ,1.1944 ,3.1300 ,100.0000 ,2.0000 ,78958.0000 ,78078.0000 ,88.2450 ,1.8770 ,259.0000 ,50.0000 ,26.0000 ,1315.4300 ,,,163.0000 ,200.0000 ,14800.0000 ,14314.4200 
中国铁建2011,65.32,78.8200 ,21.7390 ,27.5810 ,4573.6600 ,20.5500 ,1.4394 ,3.1300 ,100.0000 ,2.0000 ,85046.0000 ,,84.7200 ,1.8520 ,445.0000 ,126.0000 ,22.0000 ,1315.4300 ,,,471.0000 ,200.0000 ,15075.0000 ,14968.4100 
中国铁建2012,78.59,86.7100 ,23.7520 ,27.3920 ,4843.1300 ,20.8300 ,1.7800 ,3.1300 ,100.0000 ,2.0000 ,169633.0000 ,,65.8600 ,1.3600 ,923.0000 ,136.0000 ,29.0000 ,543.1800 ,,,1543.1800 ,192.0000 ,6740.0000 ,18765.0000 
