企业,社会维度得分,净利润（亿元）,缴纳税费（亿元）,净利润纳税率（%）,女性员工比例（%）,研究生及以上学历占比（%）,员工流失率（%）,员工满意度,因公死亡人数,员工培训人次,安全培训人次,研发总额占营业收入比例,新增专利数,省部级以上科技奖,国家级优质工程奖,捐赠总额（万元）,员工志愿者人数,扶贫投入资金（万元）,农民工雇佣人数（万）,毕业生吸纳人数,员工保障（万元）
中国交建2012,73.99,151.49,37.4,24.688,17.3,5.649,4.52,94.8,0,150000,9550,0.789,413,101,20,1218,,348,33.4,5629,
中国交建2013,75.48,157.1,38.42,24.456,17.3,6.145,3.43,94.8,11,,,1.017,512,109,21,1262.6,,332.1,33.5,6200,
中国交建2014,76.94,175.62,38,21.638,17.8,7.052,3.12,94.8,0,226800,800,0.907,679,153,20,1080,10210,,27.3,7873,
中国交建2015,78.35,194.1,36.28,18.691,17.4,7.385,3.11,95.4,0,235609,,1.59,1019,127,24,1134.01,12496,,28.47,6042,
中国交建2016,46.14,222.25,50.03,22.511,23.5,8.179,3.15,96.7,18,242304,136000,1.832,1226,148,24,2437.14,15754,1792,16.928,7673,86
中国交建2017,75.18,213.19,52.34,24.551,16,8.929,3.14,97,0,250552,2733,1.784,1330,184,63,2713.78,16978,216,17,7934,
中国交建2018,82.16,202.94,51.55,25.402,14.16,9.07,3.15,97,12,321565,5908,2.073,1712,196,76,4022.15,,4022,13.601,,3876.28
中国交建2019,93.52,201.08,50.937,25.332,14,10.739,3.15,97,8,706958,80714,2.28,2205,246,38,4596.12,17211,2591.96,14.428,,
中国交建2020,83.05,162.06,61.013,37.649,19.299,10.004,3.16,97,6,1349773,234800,3.202,2055,222,51,12308,19124,28200,30.406,,
中国交建2021,74.4,179.93,52.477,29.165,17.19,11.333,3.17,97,7,,230000,3.294,6838,290,46,8875,20080,25888,71.176,,881
中国交建2022,74.09,191.04,62.224,32.571,19.04,10.87,3.11,97,6,1460721,,3.248,7811,257,33,28736,21985,26600,76.357,,
中国交建2023,74.52,238.12,61.397,25.784,17.2,12.323,3.67,97,6,652415,250400,3.652,6795,,85,27358.76,33719,23771.5,80.836,,3242.36
中国铁建2010,72.96,43.17,17.72,41.047,20.09,1.1944,3.13,100,2,78958,78078,1.877,259,50,26,1315.43,,163,200,14800,14314.42
中国铁建2011,65.32,78.82,21.739,27.581,20.55,1.4394,3.13,100,2,85046,,1.852,445,126,22,1315.43,,471,200,15075,14968.41
中国铁建2012,78.59,86.71,23.752,27.392,20.83,1.78,3.13,100,2,169633,,1.36,923,136,29,543.18,,1543.18,192,6740,18765
中国铁建2013,74.26,104.39,26.004,24.91,21.11,2.09,3.13,100,0,144806,,1.309,999,134,30,616.2,,500,199,11820,15178.4
中国铁建2014,77.85,120.6,33.809,28.034,21.14,2.46,3.13,100,0,181535,,1.467,995,119,42,508.6,,,213,10254,14055
