market,section,branch,category,url
en_gb,men,NEW ARRIVALS,Men,https://www.g-star.com/en_gb/shop/men/new_arrivals
en_gb,men,MEN,Jeans,https://www.g-star.com/en_gb/shop/men/jeans
en_gb,men,MEN,Trousers & Cargos,https://www.g-star.com/en_gb/shop/men/trousers
en_gb,men,MEN,Shorts,https://www.g-star.com/en_gb/shop/men/shorts
en_gb,men,MEN,Swimwear,https://www.g-star.com/en_gb/shop/men/swimwear
en_gb,men,MEN,T-Shirts & Polos,https://www.g-star.com/en_gb/shop/men/t-shirts
en_gb,men,MEN,Shirts,https://www.g-star.com/en_gb/shop/men/shirts
en_gb,men,MEN,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/men/sweatshirts-hoodies
en_gb,men,MEN,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/men/cardigans-jumpers
en_gb,men,MEN,All Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers
en_gb,men,MEN,Fall Jackets,https://www.g-star.com/en_gb/shop/men/lightweight_jackets
en_gb,men,MEN,Overshirts,https://www.g-star.com/en_gb/shop/men/overshirts
en_gb,men,MEN,Denim Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers/denim_jackets
en_gb,men,MEN,Footwear,https://www.g-star.com/en_gb/shop/men/shoes
en_gb,men,MEN,Underwear,https://www.g-star.com/en_gb/shop/men/underwear
en_gb,men,MEN,Accessories,https://www.g-star.com/en_gb/shop/men/accessories
en_gb,men,MEN,New Arrivals,https://www.g-star.com/en_gb/shop/men/new_arrivals
en_gb,men,MEN,Bestsellers,https://www.g-star.com/en_gb/shop/men/bestsellers
en_gb,men,Jeans & Trousers,Jeans,https://www.g-star.com/en_gb/shop/men/jeans
en_gb,men,Jeans & Trousers,Trousers & Cargos,https://www.g-star.com/en_gb/shop/men/trousers
en_gb,men,Jeans & Trousers,Shorts,https://www.g-star.com/en_gb/shop/men/shorts
en_gb,men,Jeans & Trousers,Swimwear,https://www.g-star.com/en_gb/shop/men/swimwear
en_gb,men,T-Shirts & Tops,T-Shirts & Polos,https://www.g-star.com/en_gb/shop/men/t-shirts
en_gb,men,T-Shirts & Tops,Shirts,https://www.g-star.com/en_gb/shop/men/shirts
en_gb,men,T-Shirts & Tops,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/men/sweatshirts-hoodies
en_gb,men,T-Shirts & Tops,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/men/cardigans-jumpers
en_gb,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers
en_gb,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/men/lightweight_jackets
en_gb,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_gb/shop/men/overshirts
en_gb,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers/denim_jackets
en_gb,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/men/shoes
en_gb,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/men/underwear
en_gb,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/men/accessories
en_gb,men,JEANS,All Jeans,https://www.g-star.com/en_gb/shop/men/jeans
en_gb,men,JEANS,Slim,https://www.g-star.com/en_gb/shop/men/jeans/slim
en_gb,men,JEANS,Skinny,https://www.g-star.com/en_gb/shop/men/jeans/skinny
en_gb,men,JEANS,Straight,https://www.g-star.com/en_gb/shop/men/jeans/straight
en_gb,men,JEANS,Tapered,https://www.g-star.com/en_gb/shop/men/jeans/tapered
en_gb,men,JEANS,Loose,https://www.g-star.com/en_gb/shop/men/jeans/loose
en_gb,men,JEANS,Bootcut,https://www.g-star.com/en_gb/shop/men/jeans/bootcut
en_gb,men,Men,All Jeans,https://www.g-star.com/en_gb/shop/men/jeans
en_gb,men,Men,Slim,https://www.g-star.com/en_gb/shop/men/jeans/slim
en_gb,men,Men,Skinny,https://www.g-star.com/en_gb/shop/men/jeans/skinny
en_gb,men,Men,Straight,https://www.g-star.com/en_gb/shop/men/jeans/straight
en_gb,men,Men,Tapered,https://www.g-star.com/en_gb/shop/men/jeans/tapered
en_gb,men,Men,Loose,https://www.g-star.com/en_gb/shop/men/jeans/loose
en_gb,men,Men,Bootcut,https://www.g-star.com/en_gb/shop/men/jeans/bootcut
en_gb,women,NEW ARRIVALS,Women,https://www.g-star.com/en_gb/shop/women/new_arrivals
en_gb,women,WOMEN,Jeans,https://www.g-star.com/en_gb/shop/women/jeans
en_gb,women,WOMEN,Trousers & Cargos,https://www.g-star.com/en_gb/shop/women/trousers
en_gb,women,WOMEN,Shorts,https://www.g-star.com/en_gb/shop/women/shorts
en_gb,women,WOMEN,Tops & T-Shirts,https://www.g-star.com/en_gb/shop/women/t-shirts
en_gb,women,WOMEN,Shirts & Blouses,https://www.g-star.com/en_gb/shop/women/shirts
en_gb,women,WOMEN,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/women/sweatshirts-hoodies
en_gb,women,WOMEN,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/women/cardigans-jumpers
en_gb,women,WOMEN,Dresses,https://www.g-star.com/en_gb/shop/women/dresses
en_gb,women,WOMEN,Jumpsuits,https://www.g-star.com/en_gb/shop/women/jumpsuits-overalls
en_gb,women,WOMEN,Skirts,https://www.g-star.com/en_gb/shop/women/skirts
en_gb,women,WOMEN,All Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers
en_gb,women,WOMEN,Fall Jackets,https://www.g-star.com/en_gb/shop/women/lightweight_jackets
en_gb,women,WOMEN,Denim Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers/denim_jackets
en_gb,women,WOMEN,Footwear,https://www.g-star.com/en_gb/shop/women/shoes
en_gb,women,WOMEN,Accessories,https://www.g-star.com/en_gb/shop/women/accessories
en_gb,women,WOMEN,Underwear,https://www.g-star.com/en_gb/shop/women/underwear
en_gb,women,WOMEN,New Arrivals,https://www.g-star.com/en_gb/shop/women/new_arrivals
en_gb,women,WOMEN,Bestsellers,https://www.g-star.com/en_gb/shop/women/bestsellers
en_gb,women,Jeans & Bottoms,Jeans,https://www.g-star.com/en_gb/shop/women/jeans
en_gb,women,Jeans & Bottoms,Trousers & Cargos,https://www.g-star.com/en_gb/shop/women/trousers
en_gb,women,Jeans & Bottoms,Shorts,https://www.g-star.com/en_gb/shop/women/shorts
en_gb,women,Tops,Tops & T-Shirts,https://www.g-star.com/en_gb/shop/women/t-shirts
en_gb,women,Tops,Shirts & Blouses,https://www.g-star.com/en_gb/shop/women/shirts
en_gb,women,Tops,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/women/sweatshirts-hoodies
en_gb,women,Tops,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/women/cardigans-jumpers
en_gb,women,Dresses & Jumpsuits,Dresses,https://www.g-star.com/en_gb/shop/women/dresses
en_gb,women,Dresses & Jumpsuits,Jumpsuits,https://www.g-star.com/en_gb/shop/women/jumpsuits-overalls
en_gb,women,Dresses & Jumpsuits,Skirts,https://www.g-star.com/en_gb/shop/women/skirts
en_gb,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers
en_gb,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/women/lightweight_jackets
en_gb,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers/denim_jackets
en_gb,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/women/shoes
en_gb,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/women/accessories
en_gb,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/women/underwear
en_gb,women,JEANS,All Jeans,https://www.g-star.com/en_gb/shop/women/jeans
en_gb,women,JEANS,Skinny,https://www.g-star.com/en_gb/shop/women/jeans/skinny
en_gb,women,JEANS,Boyfriend,https://www.g-star.com/en_gb/shop/women/jeans/boyfriend
en_gb,women,JEANS,Straight,https://www.g-star.com/en_gb/shop/women/jeans/straight
en_gb,women,JEANS,Loose,https://www.g-star.com/en_gb/shop/women/jeans/loose
en_gb,women,JEANS,Bootcut & Flare,https://www.g-star.com/en_gb/shop/women/jeans/bootcut
en_gb,women,Women,All Jeans,https://www.g-star.com/en_gb/shop/women/jeans
en_gb,women,Women,Skinny,https://www.g-star.com/en_gb/shop/women/jeans/skinny
en_gb,women,Women,Boyfriend,https://www.g-star.com/en_gb/shop/women/jeans/boyfriend
en_gb,women,Women,Straight,https://www.g-star.com/en_gb/shop/women/jeans/straight
en_gb,women,Women,Loose,https://www.g-star.com/en_gb/shop/women/jeans/loose
en_gb,women,Women,Bootcut & Flare,https://www.g-star.com/en_gb/shop/women/jeans/bootcut
en_nl,men,NEW ARRIVALS,Men,https://www.g-star.com/en_nl/shop/men/new_arrivals
en_nl,men,MEN,Jeans,https://www.g-star.com/en_nl/shop/men/jeans
