market,section,branch,category,url
en_gb,men,Jeans & Trousers,Jeans,https://www.g-star.com/en_gb/shop/men/jeans
en_gb,men,Jeans & Trousers,Trousers & Cargos,https://www.g-star.com/en_gb/shop/men/trousers
en_gb,men,Jeans & Trousers,Shorts,https://www.g-star.com/en_gb/shop/men/shorts
en_gb,men,Jeans & Trousers,Swimwear,https://www.g-star.com/en_gb/shop/men/swimwear
en_gb,men,T-Shirts & Tops,T-Shirts & Polos,https://www.g-star.com/en_gb/shop/men/t-shirts
en_gb,men,T-Shirts & Tops,Shirts,https://www.g-star.com/en_gb/shop/men/shirts
en_gb,men,T-Shirts & Tops,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/men/sweatshirts-hoodies
en_gb,men,T-Shirts & Tops,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/men/cardigans-jumpers
en_gb,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers
en_gb,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/men/lightweight_jackets
en_gb,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_gb/shop/men/overshirts
en_gb,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers/denim_jackets
en_gb,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/men/shoes
en_gb,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/men/underwear
en_gb,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/men/accessories
en_gb,women,Jeans & Bottoms,Jeans,https://www.g-star.com/en_gb/shop/women/jeans
en_gb,women,Jeans & Bottoms,Trousers & Cargos,https://www.g-star.com/en_gb/shop/women/trousers
en_gb,women,Jeans & Bottoms,Shorts,https://www.g-star.com/en_gb/shop/women/shorts
en_gb,women,Tops,Tops & T-Shirts,https://www.g-star.com/en_gb/shop/women/t-shirts
en_gb,women,Tops,Shirts & Blouses,https://www.g-star.com/en_gb/shop/women/shirts
en_gb,women,Tops,Sweaters & Hoodies,https://www.g-star.com/en_gb/shop/women/sweatshirts-hoodies
en_gb,women,Tops,Cardigans & Jumpers,https://www.g-star.com/en_gb/shop/women/cardigans-jumpers
en_gb,women,Dresses & Jumpsuits,Dresses,https://www.g-star.com/en_gb/shop/women/dresses
en_gb,women,Dresses & Jumpsuits,Jumpsuits,https://www.g-star.com/en_gb/shop/women/jumpsuits-overalls
en_gb,women,Dresses & Jumpsuits,Skirts,https://www.g-star.com/en_gb/shop/women/skirts
en_gb,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers
en_gb,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/women/lightweight_jackets
en_gb,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers/denim_jackets
en_gb,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/women/shoes
en_gb,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/women/accessories
en_gb,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/women/underwear
en_nl,men,Jeans & Bottoms,Jeans,https://www.g-star.com/en_nl/shop/men/jeans
en_nl,men,Jeans & Bottoms,Pants & Cargos,https://www.g-star.com/en_nl/shop/men/pants
en_nl,men,Jeans & Bottoms,Shorts,https://www.g-star.com/en_nl/shop/men/shorts
en_nl,men,Jeans & Bottoms,Swimwear,https://www.g-star.com/en_nl/shop/men/swimwear
en_nl,men,T-Shirts & Tops,T-Shirts & Polos,https://www.g-star.com/en_nl/shop/men/t-shirts
en_nl,men,T-Shirts & Tops,Shirts,https://www.g-star.com/en_nl/shop/men/shirts
en_nl,men,T-Shirts & Tops,Sweaters & Hoodies,https://www.g-star.com/en_nl/shop/men/sweatshirts-hoodies
en_nl,men,T-Shirts & Tops,Knitwear,https://www.g-star.com/en_nl/shop/men/knitwear
en_nl,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_nl/shop/men/jackets_and_blazers
en_nl,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_nl/shop/men/lightweight_jackets
en_nl,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_nl/shop/men/overshirts
en_nl,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_nl/shop/men/jackets_and_blazers/denim_jackets
en_nl,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_nl/shop/men/shoes
en_nl,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_nl/shop/men/underwear
en_nl,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_nl/shop/men/accessories
en_nl,women,Jeans & Bottoms,Jeans,https://www.g-star.com/en_nl/shop/women/jeans
en_nl,women,Jeans & Bottoms,Pants & Cargos,https://www.g-star.com/en_nl/shop/women/pants
en_nl,women,Jeans & Bottoms,Shorts,https://www.g-star.com/en_nl/shop/women/shorts
en_nl,women,Tops,Tops & T-Shirts,https://www.g-star.com/en_nl/shop/women/t-shirts
en_nl,women,Tops,Shirts & Blouses,https://www.g-star.com/en_nl/shop/women/shirts
en_nl,women,Tops,Sweaters & Hoodies,https://www.g-star.com/en_nl/shop/women/sweatshirts-hoodies
en_nl,women,Tops,Knitwear,https://www.g-star.com/en_nl/shop/women/knitwear
en_nl,women,Dresses & Jumpsuits,Dresses,https://www.g-star.com/en_nl/shop/women/dresses
en_nl,women,Dresses & Jumpsuits,Jumpsuits,https://www.g-star.com/en_nl/shop/women/jumpsuits-overalls
en_nl,women,Dresses & Jumpsuits,Skirts,https://www.g-star.com/en_nl/shop/women/skirts
en_nl,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_nl/shop/women/jackets_and_blazers
en_nl,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_nl/shop/women/lightweight_jackets
en_nl,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_nl/shop/women/jackets_and_blazers/denim_jackets
en_nl,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_nl/shop/women/shoes
en_nl,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_nl/shop/women/accessories
en_nl,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_nl/shop/women/underwear
en_fr,men,Jeans & Bottoms,Jeans,https://www.g-star.com/en_fr/shop/men/jeans
en_fr,men,Jeans & Bottoms,Pants & Cargos,https://www.g-star.com/en_fr/shop/men/pants
en_fr,men,Jeans & Bottoms,Shorts,https://www.g-star.com/en_fr/shop/men/shorts
en_fr,men,Jeans & Bottoms,Swimwear,https://www.g-star.com/en_fr/shop/men/swimwear
en_fr,men,T-Shirts & Tops,T-Shirts & Polos,https://www.g-star.com/en_fr/shop/men/t-shirts
en_fr,men,T-Shirts & Tops,Shirts,https://www.g-star.com/en_fr/shop/men/shirts
en_fr,men,T-Shirts & Tops,Sweaters & Hoodies,https://www.g-star.com/en_fr/shop/men/sweatshirts-hoodies
en_fr,men,T-Shirts & Tops,Knitwear,https://www.g-star.com/en_fr/shop/men/knitwear
en_fr,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_fr/shop/men/jackets_and_blazers
en_fr,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_fr/shop/men/lightweight_jackets
en_fr,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_fr/shop/men/overshirts
en_fr,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_fr/shop/men/jackets_and_blazers/denim_jackets
en_fr,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_fr/shop/men/shoes
en_fr,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_fr/shop/men/accessories
en_fr,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_fr/shop/men/underwear
en_fr,women,Jeans & Bottoms,Jeans,https://www.g-star.com/en_fr/shop/women/jeans
en_fr,women,Jeans & Bottoms,Pants & Cargos,https://www.g-star.com/en_fr/shop/women/pants
en_fr,women,Jeans & Bottoms,Shorts,https://www.g-star.com/en_fr/shop/women/shorts
en_fr,women,Tops,Tops & T-Shirts,https://www.g-star.com/en_fr/shop/women/t-shirts
en_fr,women,Tops,Shirts & Blouses,https://www.g-star.com/en_fr/shop/women/shirts
en_fr,women,Tops,Sweaters & Hoodies,https://www.g-star.com/en_fr/shop/women/sweatshirts-hoodies
en_fr,women,Tops,Knitwear,https://www.g-star.com/en_fr/shop/women/knitwear
