market,section,branch,category,url
en_gb,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers
en_gb,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/men/lightweight_jackets
en_gb,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_gb/shop/men/overshirts
en_gb,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/men/jackets_and_blazers/denim_jackets
en_gb,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/men/shoes
en_gb,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/men/underwear
en_gb,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/men/accessories
en_gb,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers
en_gb,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_gb/shop/women/lightweight_jackets
en_gb,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_gb/shop/women/jackets_and_blazers/denim_jackets
en_gb,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_gb/shop/women/shoes
en_gb,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_gb/shop/women/accessories
en_gb,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_gb/shop/women/underwear
en_nl,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_nl/shop/men/jackets_and_blazers
en_nl,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_nl/shop/men/lightweight_jackets
en_nl,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_nl/shop/men/overshirts
en_nl,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_nl/shop/men/jackets_and_blazers/denim_jackets
en_nl,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_nl/shop/men/shoes
en_nl,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_nl/shop/men/underwear
en_nl,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_nl/shop/men/accessories
en_nl,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_nl/shop/women/jackets_and_blazers
en_nl,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_nl/shop/women/lightweight_jackets
en_nl,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_nl/shop/women/jackets_and_blazers/denim_jackets
en_nl,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_nl/shop/women/shoes
en_nl,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_nl/shop/women/accessories
en_nl,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_nl/shop/women/underwear
en_fr,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_fr/shop/men/jackets_and_blazers
en_fr,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_fr/shop/men/lightweight_jackets
en_fr,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_fr/shop/men/overshirts
en_fr,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_fr/shop/men/jackets_and_blazers/denim_jackets
en_fr,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_fr/shop/men/shoes
en_fr,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_fr/shop/men/accessories
en_fr,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_fr/shop/men/underwear
en_fr,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_fr/shop/women/jackets_and_blazers
en_fr,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_fr/shop/women/lightweight_jackets
en_fr,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_fr/shop/women/jackets_and_blazers/denim_jackets
en_fr,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_fr/shop/women/shoes
en_fr,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_fr/shop/women/accessories
en_fr,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_fr/shop/women/underwear
en_jp,men,Jackets & Coats,All Jackets,https://www.g-star.com/en_jp/shop/men/jackets_and_blazers
en_jp,men,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_jp/shop/men/lightweight_jackets
en_jp,men,Jackets & Coats,Overshirts,https://www.g-star.com/en_jp/shop/men/overshirts
en_jp,men,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_jp/shop/men/jackets_and_blazers/denim_jackets
en_jp,men,Shoes & Accessories,Footwear,https://www.g-star.com/en_jp/shop/men/shoes
en_jp,men,Shoes & Accessories,Underwear,https://www.g-star.com/en_jp/shop/men/underwear
en_jp,men,Shoes & Accessories,Accessories,https://www.g-star.com/en_jp/shop/men/accessories
en_jp,men,Shoes & Accessories,Socks,https://www.g-star.com/en_jp/shop/men/accessories/socks
en_jp,women,Jackets & Coats,All Jackets,https://www.g-star.com/en_jp/shop/women/jackets_and_blazers
en_jp,women,Jackets & Coats,Fall Jackets,https://www.g-star.com/en_jp/shop/women/lightweight_jackets
en_jp,women,Jackets & Coats,Denim Jackets,https://www.g-star.com/en_jp/shop/women/jackets_and_blazers/denim_jackets
en_jp,women,Shoes & Accessories,Footwear,https://www.g-star.com/en_jp/shop/women/shoes
en_jp,women,Shoes & Accessories,Accessories,https://www.g-star.com/en_jp/shop/women/accessories
en_jp,women,Shoes & Accessories,Socks,https://www.g-star.com/en_jp/shop/women/accessories/socks
en_jp,women,Shoes & Accessories,Underwear,https://www.g-star.com/en_jp/shop/women/underwear
